Name,Lat,Lon
中油台糖崇德加油站,22.964759,120.227172
大魯閣棒壘球打擊練習場中正館站,25.02907,121.29363
山隆竹坑加油站,24.17613,120.543682
7-ELEVEN 泰昌店站C,24.987894,121.295616
松山區公所站A,25.049567,121.577131
新北市中和國民運動中心站C,24.993356,121.487856
中油君朋加油站,24.898786,121.057363
中油神崗加油站,24.25684,120.67093
Gogoro 永和中正店站,24.998068,121.51632
臺鐵橋頭站B,22.76096,120.310598
家樂福成功店站A,22.60549,120.30462
A21 環北站,24.967686,121.221041
新竹市東大路橋下花園段停車場站B,24.80356,120.97897
中油台糖忠勇加油站,24.135804,120.611815
國立中興大學站A,24.121402,120.679082
台電岡山服務所站A,22.796397,120.293968
更生保護會基隆路站A,25.027044,121.555313
7-ELEVEN 埔民店站,25.004041,121.309041
台亞大同路加油站,22.982723,120.211291
中油信泰加油站,23.442269,120.520891
北基世貿加油站C,24.187084,120.61902
中油金陵加油站A,24.940301,121.223289
政大加油站C,24.988278,121.571819
7-ELEVEN 鯤鯓店站,22.959167,120.184152
新北市永和國民運動中心站B,25.003108,121.524509
合作金庫銀行自強分行站A,25.052507,121.531992
中油安平古堡加油站,23.001937,120.167451
全聯豐原成功店站B,24.245768,120.709185
家樂福便利購漢口店站A,24.167216,120.680354
全聯淡水沙崙店站B,25.181804,121.42261
新北市三重區公所站B,25.061236,121.48918
八百屋屏東店站B,22.687549,120.484305
7-ELEVEN 維軒店站,22.382439,120.59575
7-ELEVEN 親旺店站,24.132051,120.553892
全聯和美仁昌店站A,24.106796,120.494107
第一銀行新興分行站A,22.631035,120.301028
Gogoro 桃園中華門市店站,24.991272,121.311672
中油奕榮造橋加油站,24.630976,120.85544
耕讀園台中國光店站B,24.105103,120.681241
HiLife 中縣中神店站B,24.258931,120.655981
全聯鹽埕七賢三店站A,22.621341,120.279752
特力屋高雄大順店站B,22.631806,120.32422
中油南投成功路加油站,23.98884,120.6847
全聯竹北中華店站A,24.843012,121.005402
中油興盛加油站,22.987749,121.312046
桃園市楊梅埔心車站後站停車場站,24.919665,121.182955
HiLife 中縣中連店站,24.059221,120.64483
宏佳騰花蓮中正店站,23.969314,121.595199
高雄市養工處廣州三街站B,22.613268,120.319849
臺中市中華停車場站,24.148566,120.677917
全聯楊梅民族店站B,24.958406,121.172176
台塑企業麥寮工業園區站,23.796032,120.214236
7-ELEVEN 福上店站,24.175474,120.659355
全家台中龍富二店站B,24.148893,120.626745
Gogoro 中壢龍岡服務中心站,24.949412,121.224031
臺北市敦化北路站B,25.05606,121.549715
中油岡山交流道加油站,22.787108,120.317019
新光三越高雄三多店站B,22.614006,120.307399
全家台中龍富二店站A,24.148893,120.626345
Gogoro 鳳山青年店站,22.639565,120.350948
中油高楠加油站,22.671331,120.317252
臺中市東勢區公所站A,24.258953,120.827972
全聯台南崇明店站B,22.974818,120.2232
台東好站D,22.753797,121.148138
中油林森路加油站A,23.480679,120.443741
家樂福安平店站A,22.988416,120.187136
家樂福三民店2F站,25.061727,121.563376
台中 JMall 商場站A,24.182875,120.616256
台亞新店中興路加油站B,24.979099,121.544807
Gogoro 高雄三多門市站,22.614778,120.30659
7-ELEVEN 三中店站C,24.158891,120.662151
新北市大漢停車場機車區站B,25.031541,121.463781
新北市交通公園站B,24.976983,121.538403
臺北市四維廣場停車場站A,25.033906,121.548145
新北市介壽公園站A,25.008661,121.463229
大寮區公所站A,22.605393,120.395503
全家新城太魯閣店站,24.131322,121.644155
全聯大溪員林店站,24.898445,121.283608
新北市中和公園站B,24.999397,121.513633
家樂福光華店站B,22.610579,120.317539
全家龜山大湖店站A,25.055976,121.357856
全家大里金城店站A,24.087664,120.705363
屏東市國民運動中心站A,22.677627,120.499048
中油佳昌加油站,23.338674,120.352475
全家大里大金店站B,24.090151,120.691031
中油內壢加油站B,24.961897,121.254504
全聯台中永興店站B,24.165426,120.682892
全家橋頭建樹店站,22.763296,120.307587
Gogoro 竹東東林門市站C,24.73692,121.09305
關聖里停車場站B,22.985607,120.241478
大道停6停車場站A,23.009493,120.215819
北基蘆洲加油站A,25.077642,121.469445
高雄市養工處德民路站C,22.721682,120.294648
北投運動中心站A,25.116175,121.509634
宏佳騰和美德美店站A,24.113091,120.501754
Gogoro 士辰車電社區店站,25.12563,121.742904
高雄市都發局鼎金後路站D,22.673114,120.322896
台北捷運忠義站B,25.130607,121.473015
全家桃園縣安店站B,24.996392,121.300432
交通大學光復校區機車停車場H棚站A,24.783814,120.994089
中油羅東加油站,24.697271,121.769263
臺北市民權東路四段站D,25.062237,121.558686
玉成國小地下停車場B1F站,25.053203,121.592755
新北市清水社區公園站A,24.984682,121.463261
享溫馨KTV 巨蛋店站C,22.664056,120.30249
安順里公有停車場站A,23.051342,120.215353
7-ELEVEN 興安店站A,24.233191,120.558467
全聯南投水里店站,23.807242,120.852032
延平北路5段臨時平面停車場站B,25.078805,121.510335
新北市深坑國小站B,25.001773,121.616564
全家桃園愛國店站A,24.985957,121.316731
坤業莒光路加油站B,24.993759,121.467902
民生路臨時停車場站B,22.99799,120.188722
Gogoro 立信輪業社區店站B,25.003016,121.481692
新北市土城公兒18公園站A,24.979834,121.450223
新北市瑞芳區立體停車場站,25.108127,121.809399
7-ELEVEN 逢喜店站,24.176012,120.640748
全聯頭城青雲店站,24.859116,121.826534
中油茄苳加油站,24.977043,121.269632
7-ELEVEN 航發店站,24.175841,120.650286
HiLife 中縣中秋店站,24.148489,120.549583
新北市環河公園站A,25.016546,121.451002
全聯台中北屯二店站B,24.175823,120.699346
台糖大社加油站,22.750895,120.352556
北基中和加油站B,25.005472,121.477108
中油復興北路加油站,25.049405,121.544229
中油群邦加油站,23.91019,120.54259
中油宜蘭豐富加油站,24.811315,121.767686
高雄市歡樂17停車場站B,22.710452,120.293269
HiLife 苗縣頂尖店站,24.70636,120.925978
高雄市立新興高中站A,22.62613,120.30282
新竹縣北埔鄉公所站B,24.701879,121.057127
蒲園商旅站,25.048598,121.563424
臺北市建國仁愛路口站A,25.03947,121.538265
全聯鹿港鹿草店站B,24.066043,120.437066
臺中市精武廣場停車場站A,24.145789,120.686559
中油美得瑞里加油站,23.515231,121.376591
全聯豐原成功店站A,24.245768,120.708785
