Name,Lat,Lon
2-Unit Bank 宜蘭縣五結鄉農會站,24.685154,121.797647
2-Unit Bank 高雄市大社區農會站,22.729546,120.346726
2-Unit Bank 第一銀行大稻埕分行站,25.055861,121.510055
2-Unit Bank 第一銀行重慶北路站,25.060465,121.513387
2-Unit Bank 第一銀行草屯分行站,23.976607,120.684366
2-Unit Car-parts 車麗屋新北板橋店站,25.013778,121.469441
2-Unit Car-parts 金弘笙新竹竹北店站,24.817665,121.020501
2-Unit Car-parts 麗車坊內湖旗艦店站,25.059463,121.57958
2-Unit Carrefour Culture 家樂福便利購桃園文化七店站,25.051801,121.366802
2-Unit Carrefour 家樂福中正店站,23.032391,120.228008
2-Unit Carrefour 家樂福中壢店站,24.947692,121.244553
2-Unit Carrefour 家樂福內湖店站,25.0605,121.575013
2-Unit Carrefour 家樂福光華店站,22.610579,120.317139
2-Unit Carrefour 家樂福安平店站,22.988416,120.187136
2-Unit Carrefour 家樂福成功店站,22.60549,120.30462
2-Unit Carrefour 家樂福便利購太平環中店站,24.149201,120.715229
2-Unit Carrefour 家樂福便利購台中水湳店站,24.17678,120.669588
2-Unit Carrefour 家樂福便利購台中復興店站,24.123927,120.663663
2-Unit Carrefour 家樂福便利購漢口店站,24.167216,120.680354
2-Unit Carrefour 家樂福屏東店站,22.683135,120.497996
2-Unit Carrefour 家樂福苗栗店站,24.57422,120.81793
2-Unit Carrefour 家樂福桂林店站,25.038158,121.505378
2-Unit Carrefour 家樂福新楠店站,22.73614,120.330897
2-Unit Carrefour 家樂福彰化店站,24.094564,120.542475
2-Unit Carrefour 家樂福澄清店站,22.64416,120.34612
2-Unit Center 臺中市寶之林廢棄家具再生中心站,24.173102,120.721668
2-Unit CITYLINK 內湖店站,25.08462,121.59399
2-Unit Community Center 孝忠里民活動中心站,25.130526,121.781191
2-Unit Community Center 新北市貢寮市民活動中心站,25.020496,121.907565
2-Unit Community Center 過港里里民活動中心站,25.104883,121.738183
2-Unit Community Center 臺中市大甲區長青活動中心站,24.340731,120.627045
2-Unit Community Center 臺中市四民仁和人美同榮里聯合活動中心站,24.195515,120.680654
2-Unit Community Center 臺中市東區十甲里等三里多功能聯合活動中心站,24.141273,120.704237
2-Unit Community Center 臺中市社南里活動中心站,24.243765,120.684652
2-Unit Community Center 臺中市頂寮社區活動中心站,24.264781,120.53604
2-Unit Community Center 樹林三多市民活動中心站,25.016554,121.404364
2-Unit Community Center 樹林彭厝市民活動中心站,24.979906,121.422281
2-Unit Cosmed Pharmacy 康是美竹北藥局店站,24.813304,121.023384
2-Unit Cosmed Pharmacy 康是美虎尾藥局店站,23.70594,120.43066
2-Unit Cosmed Pharmacy 康是美員義藥局店站,23.954514,120.569272
2-Unit Cosmed Pharmacy 康是美桂林藥局店站,22.581954,120.355015
